_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,does_the_candidate_rephrasing_preserve_the_nontoxic_content_from_the_original_comment,is_the_candidate_rephrasing_fluent_in_english,is_the_candidate_rephrasing_text_a_polite_comment,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,we_also_ask_you_to_judge_the_overall_acceptability_of_the_rephrasing_if_it_appeared_in_a_realworld_system,does_the_candidate_rephrasing_preserve_the_nontoxic_content_from_the_original_comment_gold,id,is_the_candidate_rephrasing_fluent_in_english_gold,is_the_candidate_rephrasing_text_a_polite_comment_gold,original_toxic_comment,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner_gold,value,variable,we_also_ask_you_to_judge_the_overall_acceptability_of_the_rephrasing_if_it_appeared_in_a_realworld_system_gold
2849602628,10/3/2020 15:31:11,false,5764120162,,10/3/2020 15:30:44,false,feca,0.8889,45712300,USA,NY,New York,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1337,,,Murder the Jews!,,the jews!,CAET rephrasing,
2849602628,10/3/2020 15:34:25,false,5764121529,,10/3/2020 15:30:35,false,feca,0.8571,45541073,USA,VA,Manassas,2,4,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1337,,,Murder the Jews!,,the jews!,CAET rephrasing,
2849602628,10/3/2020 16:05:01,false,5764133474,,10/3/2020 16:01:05,false,feca,0.8333,45336837,USA,GA,Atlanta,1,2,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1337,,,Murder the Jews!,,the jews!,CAET rephrasing,
2849602628,10/3/2020 16:08:02,false,5764134315,,10/3/2020 16:04:00,false,feca,0.8333,46102212,VEN,14,Mérida,1,3,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,1337,,,Murder the Jews!,,the jews!,CAET rephrasing,
2849602628,10/3/2020 16:16:27,false,5764136571,,10/3/2020 16:00:36,false,feca,1,45798223,USA,AZ,Phoenix,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1337,,,Murder the Jews!,,the jews!,CAET rephrasing,
2849602629,10/3/2020 15:34:28,false,5764121561,,10/3/2020 15:34:02,false,feca,0.8889,45680782,USA,NY,New York,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1085,,,Quite likely--because we're dealing with human beings here--some gays ARE sexual predators.,,"quite frankly--we're dealing with people who are human beings, so we're dealing with human beings.",CAET rephrasing,
2849602629,10/3/2020 15:36:41,false,5764122552,,10/3/2020 15:34:28,false,feca,0.7778,45256208,USA,GA,Duluth,1,2,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1085,,,Quite likely--because we're dealing with human beings here--some gays ARE sexual predators.,,"quite frankly--we're dealing with people who are human beings, so we're dealing with human beings.",CAET rephrasing,
2849602629,10/3/2020 15:36:57,false,5764122685,,10/3/2020 15:36:41,false,clixsense,0.7778,45702521,BRA,21,Rio De Janeiro,1,1,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1085,,,Quite likely--because we're dealing with human beings here--some gays ARE sexual predators.,,"quite frankly--we're dealing with people who are human beings, so we're dealing with human beings.",CAET rephrasing,
2849602629,10/3/2020 15:56:54,false,5764131069,,10/3/2020 15:40:07,false,neodev,0.8571,44768510,VEN,6,Agua Salada,3,3,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,1085,,,Quite likely--because we're dealing with human beings here--some gays ARE sexual predators.,,"quite frankly--we're dealing with people who are human beings, so we're dealing with human beings.",CAET rephrasing,
2849602629,10/3/2020 16:01:19,false,5764132484,,10/3/2020 15:34:27,false,feca,0.8571,45541073,USA,VA,Manassas,1,2,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,1085,,,Quite likely--because we're dealing with human beings here--some gays ARE sexual predators.,,"quite frankly--we're dealing with people who are human beings, so we're dealing with human beings.",CAET rephrasing,
2849602630,10/3/2020 15:40:19,false,5764124240,,10/3/2020 15:39:00,false,feca,0.8571,45615395,USA,NY,New York,2,1,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3582,,,"An arrogant plan, at best, ignorant at worst.",,"an arrogant, at best, approach to government, at worst, an insensitive one.....................",CAET rephrasing,
2849602630,10/3/2020 15:40:34,false,5764124365,,10/3/2020 15:38:56,false,clixsense,0.875,44618034,TUR,35,Izmir,3,3,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,3582,,,"An arrogant plan, at best, ignorant at worst.",,"an arrogant, at best, approach to government, at worst, an insensitive one.....................",CAET rephrasing,
2849602630,10/3/2020 15:41:11,false,5764124669,,10/3/2020 15:38:55,false,feca,0.8333,45509692,VEN,19,Agua Fría,4,4,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,3582,,,"An arrogant plan, at best, ignorant at worst.",,"an arrogant, at best, approach to government, at worst, an insensitive one.....................",CAET rephrasing,
2849602630,10/3/2020 15:42:18,false,5764125200,,10/3/2020 15:38:57,false,feca,0.8333,45491818,VEN,7,Valencia,4,4,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3582,,,"An arrogant plan, at best, ignorant at worst.",,"an arrogant, at best, approach to government, at worst, an insensitive one.....................",CAET rephrasing,
2849602630,10/3/2020 15:43:36,false,5764125786,,10/3/2020 15:38:58,false,feca,1,45689614,USA,VA,Manassas,4,4,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,3582,,,"An arrogant plan, at best, ignorant at worst.",,"an arrogant, at best, approach to government, at worst, an insensitive one.....................",CAET rephrasing,
2849602631,10/3/2020 15:37:19,false,5764122844,,10/3/2020 15:36:58,false,feca,0.8889,45938480,USA,NJ,Newark,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3291,,,Thomas Darcy Pathetic.,,thomas edwards. . . . . . .. .. ,CAET rephrasing,
2849602631,10/3/2020 15:37:22,false,5764122857,,10/3/2020 15:36:44,false,feca,0.7778,45448356,VEN,25,Caracas,1,1,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3291,,,Thomas Darcy Pathetic.,,thomas edwards. . . . . . .. .. ,CAET rephrasing,
2849602631,10/3/2020 15:41:55,false,5764125024,,10/3/2020 15:36:44,false,feca,0.875,45159012,VEN,19,Agua Fría,2,2,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,3291,,,Thomas Darcy Pathetic.,,thomas edwards. . . . . . .. .. ,CAET rephrasing,
2849602631,10/3/2020 16:17:53,false,5764136914,,10/3/2020 16:07:00,false,feca,1,46058477,VEN,4,Cagua,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,3291,,,Thomas Darcy Pathetic.,,thomas edwards. . . . . . .. .. ,CAET rephrasing,
2849602631,10/3/2020 16:24:36,false,5764138676,,10/3/2020 16:06:56,false,feca,0.8333,46121217,VEN,15,Los Teques,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3291,,,Thomas Darcy Pathetic.,,thomas edwards. . . . . . .. .. ,CAET rephrasing,
2849602632,10/3/2020 15:34:42,false,5764121679,,10/3/2020 15:32:20,false,feca,0.7778,45412024,VEN,4,Maracay,5,4,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,4339,,,Alt left women are equally loathesome.,,alt left women are equally loathsome..................,CAET rephrasing,
2849602632,10/3/2020 15:36:14,false,5764122359,,10/3/2020 15:32:36,false,feca,0.75,45864584,VEN,7,Valencia,5,3,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,4339,,,Alt left women are equally loathesome.,,alt left women are equally loathsome..................,CAET rephrasing,
2849602632,10/3/2020 15:36:23,false,5764122411,,10/3/2020 15:32:42,false,feca,0.8571,45449567,USA,AZ,Phoenix,5,3,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,4339,,,Alt left women are equally loathesome.,,alt left women are equally loathsome..................,CAET rephrasing,
2849602632,10/3/2020 15:47:50,false,5764127705,,10/3/2020 15:38:08,false,feca,0.8333,45597616,USA,VA,Annandale,4,5,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,4339,,,Alt left women are equally loathesome.,,alt left women are equally loathsome..................,CAET rephrasing,
2849602632,10/3/2020 16:24:36,false,5764138674,,10/3/2020 16:06:56,false,feca,0.8333,46121217,VEN,15,Los Teques,5,4,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,4339,,,Alt left women are equally loathesome.,,alt left women are equally loathsome..................,CAET rephrasing,
2849602633,10/3/2020 15:27:22,false,5764118568,,10/3/2020 15:25:38,false,feca,0.7778,45412024,VEN,4,Maracay,5,4,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,422,,,She is a disgrace!,,she is a disgrace!,CAET rephrasing,
2849602633,10/3/2020 15:27:49,false,5764118792,,10/3/2020 15:25:40,false,feca,0.8889,45833172,USA,NY,New York,4,4,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,422,,,She is a disgrace!,,she is a disgrace!,CAET rephrasing,
2849602633,10/3/2020 15:41:39,false,5764124914,,10/3/2020 15:39:20,false,feca,0.8333,45445273,VEN,4,Maracay,4,4,2,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,422,,,She is a disgrace!,,she is a disgrace!,CAET rephrasing,
2849602633,10/3/2020 15:55:48,false,5764130706,,10/3/2020 15:52:40,false,feca,1,45231695,USA,NY,New York,2,3,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,422,,,She is a disgrace!,,she is a disgrace!,CAET rephrasing,
2849602633,10/3/2020 16:09:19,false,5764134659,,10/3/2020 16:03:53,false,feca,0.8333,45535360,USA,IL,Chicago,5,5,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,422,,,She is a disgrace!,,she is a disgrace!,CAET rephrasing,
2849602634,10/3/2020 15:38:27,false,5764123317,,10/3/2020 15:38:14,false,feca,0.7778,45448356,VEN,25,Caracas,5,5,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,2052,,,I get tired of idiots who sit there paying zero attention to the task at hand - driving - until you honk the horn,,i get tired of people who sit at the sidelines - no one is forcing you to drive through the crowd - ie.,CAET rephrasing,
2849602634,10/3/2020 15:42:28,false,5764125248,,10/3/2020 15:38:09,false,feca,1,45534915,USA,NY,New York,1,4,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,2052,,,I get tired of idiots who sit there paying zero attention to the task at hand - driving - until you honk the horn,,i get tired of people who sit at the sidelines - no one is forcing you to drive through the crowd - ie.,CAET rephrasing,
2849602634,10/3/2020 16:11:22,false,5764135274,,10/3/2020 16:08:12,false,feca,1,45672143,VEN,25,Caracas,4,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,2052,,,I get tired of idiots who sit there paying zero attention to the task at hand - driving - until you honk the horn,,i get tired of people who sit at the sidelines - no one is forcing you to drive through the crowd - ie.,CAET rephrasing,
2849602634,10/3/2020 16:19:33,false,5764137325,,10/3/2020 16:08:42,false,neodev,0.8571,44768510,VEN,6,Agua Salada,3,3,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,2052,,,I get tired of idiots who sit there paying zero attention to the task at hand - driving - until you honk the horn,,i get tired of people who sit at the sidelines - no one is forcing you to drive through the crowd - ie.,CAET rephrasing,
2849602634,10/3/2020 16:21:17,false,5764137848,,10/3/2020 16:08:12,false,feca,1,45603270,USA,IL,Chicago,1,2,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,2052,,,I get tired of idiots who sit there paying zero attention to the task at hand - driving - until you honk the horn,,i get tired of people who sit at the sidelines - no one is forcing you to drive through the crowd - ie.,CAET rephrasing,
2849602635,10/3/2020 15:37:19,false,5764122843,,10/3/2020 15:36:58,false,feca,0.8889,45938480,USA,NJ,Newark,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,144,,,And then they need to do what it takes to get rid of this mentally ill bigot!,,and then they need to do what they can to get rid of this kind of man that is causing the whole problem!,CAET rephrasing,
2849602635,10/3/2020 15:37:22,false,5764122856,,10/3/2020 15:36:44,false,feca,0.7778,45448356,VEN,25,Caracas,1,1,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,144,,,And then they need to do what it takes to get rid of this mentally ill bigot!,,and then they need to do what they can to get rid of this kind of man that is causing the whole problem!,CAET rephrasing,
2849602635,10/3/2020 15:41:55,false,5764125031,,10/3/2020 15:36:44,false,feca,0.875,45159012,VEN,19,Agua Fría,2,4,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,144,,,And then they need to do what it takes to get rid of this mentally ill bigot!,,and then they need to do what they can to get rid of this kind of man that is causing the whole problem!,CAET rephrasing,
2849602635,10/3/2020 16:08:32,false,5764134456,,10/3/2020 16:06:53,false,feca,1,45200400,EGY,16,Edfu,4,4,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,144,,,And then they need to do what it takes to get rid of this mentally ill bigot!,,and then they need to do what they can to get rid of this kind of man that is causing the whole problem!,CAET rephrasing,
2849602635,10/3/2020 16:17:53,false,5764136916,,10/3/2020 16:07:00,false,feca,1,46058477,VEN,4,Cagua,5,5,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,144,,,And then they need to do what it takes to get rid of this mentally ill bigot!,,and then they need to do what they can to get rid of this kind of man that is causing the whole problem!,CAET rephrasing,
2849602636,10/3/2020 15:34:00,false,5764121348,,10/3/2020 15:33:33,false,feca,0.8889,45680782,USA,NY,New York,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,1063,,,"I did give you substance, but you ran like an intellectually bankrupt coward.",,"i did give you an opinion, but you ran like an intellectually bankrupt coward.",CAET rephrasing,
2849602636,10/3/2020 15:35:03,false,5764121823,,10/3/2020 15:32:55,false,feca,0.7778,45256178,USA,TX,Dallas,2,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,1063,,,"I did give you substance, but you ran like an intellectually bankrupt coward.",,"i did give you an opinion, but you ran like an intellectually bankrupt coward.",CAET rephrasing,
2849602636,10/3/2020 15:37:04,false,5764122753,,10/3/2020 15:35:32,false,feca,0.75,45243459,COL,34,Bogota,5,5,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,1063,,,"I did give you substance, but you ran like an intellectually bankrupt coward.",,"i did give you an opinion, but you ran like an intellectually bankrupt coward.",CAET rephrasing,
2849602636,10/3/2020 15:41:57,false,5764125051,,10/3/2020 15:40:07,false,feca,0.875,46134360,USA,NY,New York,4,5,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,1063,,,"I did give you substance, but you ran like an intellectually bankrupt coward.",,"i did give you an opinion, but you ran like an intellectually bankrupt coward.",CAET rephrasing,
2849602636,10/3/2020 16:10:57,false,5764135208,,10/3/2020 16:04:00,false,feca,0.8333,45964150,VEN,15,Guarenas,4,5,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,1063,,,"I did give you substance, but you ran like an intellectually bankrupt coward.",,"i did give you an opinion, but you ran like an intellectually bankrupt coward.",CAET rephrasing,
2849602637,10/3/2020 15:37:59,false,5764123159,,10/3/2020 15:37:47,false,clixsense,0.7778,45702521,BRA,21,Rio De Janeiro,1,1,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,2458,,,"Homer Simpson  would say, Well, ""Thats just plain"" STUPID"".",,"homer would say, ""well, thats just plain old fashioned""..............................",CAET rephrasing,
2849602637,10/3/2020 15:38:07,false,5764123201,,10/3/2020 15:37:44,false,feca,0.8889,45938480,USA,NJ,Newark,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,2458,,,"Homer Simpson  would say, Well, ""Thats just plain"" STUPID"".",,"homer would say, ""well, thats just plain old fashioned""..............................",CAET rephrasing,
2849602637,10/3/2020 15:38:08,false,5764123216,,10/3/2020 15:37:53,false,feca,0.7778,45448356,VEN,25,Caracas,5,5,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,2458,,,"Homer Simpson  would say, Well, ""Thats just plain"" STUPID"".",,"homer would say, ""well, thats just plain old fashioned""..............................",CAET rephrasing,
2849602637,10/3/2020 15:41:49,false,5764125014,,10/3/2020 15:37:53,false,feca,0.75,46007974,USA,,,3,3,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,3,,2458,,,"Homer Simpson  would say, Well, ""Thats just plain"" STUPID"".",,"homer would say, ""well, thats just plain old fashioned""..............................",CAET rephrasing,
2849602637,10/3/2020 15:43:03,false,5764125505,,10/3/2020 15:37:58,false,neodev,0.8333,45416745,VEN,7,Alpargatón,4,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,2458,,,"Homer Simpson  would say, Well, ""Thats just plain"" STUPID"".",,"homer would say, ""well, thats just plain old fashioned""..............................",CAET rephrasing,
2849602638,10/3/2020 15:34:00,false,5764121352,,10/3/2020 15:33:33,false,feca,0.8889,45680782,USA,NY,New York,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,129,,,How stupid was State is the proper question?,,how was it that state was the only one to make the correct decision?,CAET rephrasing,
2849602638,10/3/2020 15:35:03,false,5764121822,,10/3/2020 15:32:55,false,feca,0.7778,45256178,USA,TX,Dallas,1,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,129,,,How stupid was State is the proper question?,,how was it that state was the only one to make the correct decision?,CAET rephrasing,
2849602638,10/3/2020 15:37:04,false,5764122764,,10/3/2020 15:35:32,false,feca,0.75,45243459,COL,34,Bogota,1,5,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,129,,,How stupid was State is the proper question?,,how was it that state was the only one to make the correct decision?,CAET rephrasing,
2849602638,10/3/2020 15:41:57,false,5764125055,,10/3/2020 15:40:07,false,feca,0.875,46134360,USA,NY,New York,2,5,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,129,,,How stupid was State is the proper question?,,how was it that state was the only one to make the correct decision?,CAET rephrasing,
2849602638,10/3/2020 16:10:57,false,5764135204,,10/3/2020 16:04:00,false,feca,0.8333,45964150,VEN,15,Guarenas,3,5,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,129,,,How stupid was State is the proper question?,,how was it that state was the only one to make the correct decision?,CAET rephrasing,
2849602639,10/3/2020 15:37:59,false,5764123161,,10/3/2020 15:37:47,false,clixsense,0.7778,45702521,BRA,21,Rio De Janeiro,1,1,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,967,,,"""High on stupid"".",,"""high on alcohol""..........................",CAET rephrasing,
2849602639,10/3/2020 15:38:07,false,5764123204,,10/3/2020 15:37:44,false,feca,0.8889,45938480,USA,NJ,Newark,1,1,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,967,,,"""High on stupid"".",,"""high on alcohol""..........................",CAET rephrasing,
2849602639,10/3/2020 15:38:08,false,5764123221,,10/3/2020 15:37:53,false,feca,0.7778,45448356,VEN,25,Caracas,1,1,1,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,967,,,"""High on stupid"".",,"""high on alcohol""..........................",CAET rephrasing,
2849602639,10/3/2020 15:41:49,false,5764125011,,10/3/2020 15:37:53,false,feca,0.75,46007974,USA,,,1,2,3,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,967,,,"""High on stupid"".",,"""high on alcohol""..........................",CAET rephrasing,
2849602639,10/3/2020 15:43:03,false,5764125507,,10/3/2020 15:37:58,false,neodev,0.8333,45416745,VEN,7,Alpargatón,2,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,2,,967,,,"""High on stupid"".",,"""high on alcohol""..........................",CAET rephrasing,
2849602640,10/3/2020 15:34:42,false,5764121676,,10/3/2020 15:32:20,false,feca,0.7778,45412024,VEN,4,Maracay,4,5,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,3161,,,What idiocy.,,what a crock.,CAET rephrasing,
2849602640,10/3/2020 15:36:14,false,5764122362,,10/3/2020 15:32:36,false,feca,0.75,45864584,VEN,7,Valencia,4,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,3161,,,What idiocy.,,what a crock.,CAET rephrasing,
2849602640,10/3/2020 15:36:23,false,5764122413,,10/3/2020 15:32:42,false,feca,0.8571,45449567,USA,AZ,Phoenix,5,4,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,5,,3161,,,What idiocy.,,what a crock.,CAET rephrasing,
2849602640,10/3/2020 15:47:50,false,5764127703,,10/3/2020 15:38:08,false,feca,0.8333,45597616,USA,VA,Annandale,4,5,4,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,4,,3161,,,What idiocy.,,what a crock.,CAET rephrasing,
2849602640,10/3/2020 16:08:32,false,5764134454,,10/3/2020 16:06:53,false,feca,1,45200400,EGY,16,Edfu,1,1,5,the_original_comment_is_too_toxic_or_otherwise_problematical_to_be_rephrased_in_a_civil_manner,1,,3161,,,What idiocy.,,what a crock.,CAET rephrasing,
